1	2004-02-01 00:00:00.000	12	49	Etapa 1	2004-02-19 00:00:00.000	3000|
2	2004-03-01 00:00:00.000	12	50	Etapa 2	2004-03-16 00:00:00.000	3000|
9	2004-05-01 00:00:00.000	12	52	Etapa 4	2004-05-21 00:00:00.000	3000|
11	2004-07-01 00:00:00.000	12	54	Etapa 6	2006-04-25 00:00:00.000	3000|
12	2006-04-01 00:00:00.000	20	76	Jornada 1	2006-04-30 00:00:00.000	12000|
13	2006-05-01 00:00:00.000	20	80	Jornada 2	2006-05-20 00:00:00.000	12000|
14	2006-06-01 00:00:00.000	20	83	Jornada 3	2006-06-05 00:00:00.000	3000|
15	2006-07-01 00:00:00.000	20	86	Jornada 4	2006-07-11 00:00:00.000	3000|
16	2006-08-01 00:00:00.000	20	89	Jornada 5	2006-08-11 00:00:00.000	3000|
17	2006-09-01 00:00:00.000	20	92	Jornada 6	2006-09-15 00:00:00.000	3000|
6	2004-04-01 00:00:00.000	12	51	Etapa 3	2004-04-15 00:00:00.000	3000|
10	2004-06-01 00:00:00.000	12	53	Etapa5	2006-03-21 00:00:00.000	3000|
18	2006-10-01 00:00:00.000	20	94	Jornada 7	2006-10-13 00:00:00.000	3000|
19	2008-04-01 00:00:00.000	26		Enfrentamientos Abril		3000|
28	2010-04-01 00:00:00.000	33		Primera Fecha	2010-04-25 00:00:00.000	3000|
30	2010-06-01 00:00:00.000	33		Tercera Fecha	2010-06-25 00:00:00.000	3000|
32	2010-08-01 00:00:00.000	33		Quinta Fecha	2010-08-25 00:00:00.000	3000|
20	2008-05-01 00:00:00.000	26		Enfrentamientos Mayo		3000|
21	2008-06-01 00:00:00.000	26		Enfrentamientos Junio		3000|
22	2008-07-01 00:00:00.000	26		Enfrentamientos Julio		3000|
23	2008-08-01 00:00:00.000	26		Enfrentamientos Agosto		3000|
24	2008-09-01 00:00:00.000	26		Enfrentamientos Septiembre		3000|
25	2008-10-01 00:00:00.000	26		Enfrentamientos Octubre		3000|
26	2008-11-01 00:00:00.000	26		Enfrentamientos Noviembre		3000|
27	2008-12-01 00:00:00.000	26		Enfrentamientos Diciembre		3000|
29	2010-05-01 00:00:00.000	33		Segunda Fecha	2010-05-25 00:00:00.000	3000|
31	2010-07-01 00:00:00.000	33		Cuarta Fecha	2010-07-25 00:00:00.000	3000|
33	2010-09-01 00:00:00.000	33		Sexta Fecha	2010-09-25 00:00:00.000	3000|
